"data","UR"
2006-06-28,84.5833333333333
2006-06-29,82.9583333333333
2006-06-30,87.5
2006-07-01,85
2006-07-02,94.75
2006-07-03,85.0833333333333
2006-07-04,74.125
2006-07-05,77.9583333333333
2006-07-06,82.1666666666667
2006-07-07,74.5
2006-07-08,70.4166666666667
2006-07-09,67.5833333333333
2006-07-10,92.7083333333333
2006-07-11,88.625
2006-07-12,80.9166666666667
2006-07-13,76.125
2006-07-14,75.2916666666667
2006-07-15,83.8333333333333
2006-07-16,80.9166666666667
2006-07-17,80.4166666666667
2006-07-18,81.375
2006-07-19,70.2916666666667
2006-07-20,69.25
2006-07-21,65.0833333333333
2006-07-22,63.5416666666667
2006-07-23,62.2083333333333
2006-07-24,63.7916666666667
2006-07-25,63.0833333333333
2006-07-26,60.5
2006-07-27,59
2006-07-28,62.2916666666667
2006-07-29,90.5416666666667
2006-07-30,93.375
2006-07-31,96.0416666666667
2006-08-01,93.5833333333333
2006-08-02,94.4166666666667
2006-08-03,88.2083333333333
2006-08-04,80.625
2006-08-05,77.6666666666667
2006-08-06,68.75
2006-08-07,61.5
2006-08-08,61.9583333333333
2006-08-09,54.7916666666667
2006-08-10,54.125
2006-08-11,74.4166666666667
2006-08-12,60.5
2006-08-13,61.75
2006-08-14,59.3333333333333
2006-08-15,60.625
2006-08-16,70.2083333333333
2006-08-17,89.25
2006-08-18,89.8333333333333
2006-08-19,89.9166666666667
2006-08-20,82.2083333333333
2006-08-21,80.25
2006-08-22,74.0833333333333
2006-08-23,68.9583333333333
2006-08-24,71.2916666666667
2006-08-25,64.4166666666667
2006-08-26,49.5
2006-08-27,72.25
2006-08-28,83.0416666666667
2006-08-29,87.8333333333333
2006-08-30,76.4583333333333
2006-08-31,74.5
2006-09-01,85.7916666666667
2006-09-02,76.8333333333333
2006-09-03,74.8333333333333
2006-09-04,76.2083333333333
2006-09-05,69.8333333333333
2006-09-06,81.0833333333333
2006-09-07,75.0416666666667
2006-09-08,71.9166666666667
2006-09-09,56.5833333333333
2006-09-10,66.125
2006-09-11,61.5
2006-09-12,57.875
2006-09-13,65.1666666666667
2006-09-14,53.7916666666667
2006-09-15,53.125
2006-09-16,91.7916666666667
2006-09-17,92.125
2006-09-18,88.2916666666667
2006-09-19,80.3333333333333
2006-09-20,84.875
2006-09-21,75.9166666666667
2006-09-22,80.7083333333333
2006-09-23,73.8333333333333
2006-09-24,93.75
2006-09-25,91
2006-09-26,84.9166666666667
2006-09-27,78
2006-09-28,71.7083333333333
2006-09-29,90.7083333333333
2006-09-30,93.0833333333333
2006-10-01,89.1666666666667
2006-10-02,87.9166666666667
2006-10-03,85.5416666666667
2006-10-04,82.5
2006-10-05,82.5416666666667
2006-10-06,92.0833333333333
2006-10-07,93.375
2006-10-08,85.0416666666667
2006-10-09,85.8333333333333
2006-10-10,84
2006-10-11,67.625
2006-10-12,85.875
2006-10-13,93.2916666666667
2006-10-14,86.6666666666667
2006-10-15,83.6666666666667
2006-10-16,93.75
2006-10-17,93.25
2006-10-18,94.8333333333333
2006-10-19,95.1666666666667
2006-10-20,87.375
2006-10-21,79.7083333333333
2006-10-22,73
2006-10-23,73.875
2006-10-24,75.875
2006-10-25,73.5833333333333
2006-10-26,69.4583333333333
2006-10-27,84.0416666666667
2006-10-28,73.7916666666667
2006-10-29,74.4583333333333
2006-10-30,71.7083333333333
2006-10-31,73.4583333333333
2006-11-01,90.9166666666667
2006-11-02,87.5416666666667
2006-11-03,89.875
2006-11-04,81.625
2006-11-05,78.5833333333333
2006-11-06,74.7916666666667
