"data","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR","MP10..µg.m3..","O3..µg.m3.","CO..ppm.","MP2.5..µg.m3.","NO2..µg.m3.","SO2..µg.m3.","dias_sem_chuva"
"2006-04-28",4,964.52,0.23453,6.20833333333333,"E",7.9,16.3789352666267,0,926.199544632204,17.3958333333333,23,79.9583333333333,41.3519939230769,50.276041625,1.21646825555556,NA,42.6173912,11.13043464,2
"2006-04-29",4,1006.5,0.09839,6.04166666666667,"SE",6.7,13.7533599129715,0,925.350956143737,19.0833333333333,24.9,80.4166666666667,58.2051864615385,63.671875,1.25694444888889,NA,50.8434782,9.0347826,3
"2006-04-30",4,1258,0.1982,4.04166666666667,"SSE",8.6,17.9876065237912,0,924.85727708846,19.7833333333333,26.7,77.4583333333333,55.594893,112.296875,2.54801587777778,NA,59.973913,7.147826,4
"2006-05-01",5,1365.5,0.12696,3.125,"SSE",7.8,16.1099767001301,0,924.9684372918,19.7458333333333,27.4,75.9583333333333,59.2843556428571,106.015625,2.55059524444444,NA,64.8347828,9.80869558,5
"2006-05-02",5,638.61,0.15252,3.5,"S",0,5.75796677215246,0,926.137218130938,16.3875,19.2,90.1666666666667,46.4455227857143,26.314732125,1.41177248555556,NA,56.504348,8.41739136,6
"2006-05-03",5,1123.3,0.13652,3.875,"S",9,19.2752949463768,0,926.060915380796,14.5875,23,72.9583333333333,47.9947278571429,58.424107125,1.50707671777778,NA,72.547826,12.14782602,7
"2006-05-04",5,1237,0.13525,2.91666666666667,"SE",8.7,17.1792931318807,0,925.291512548703,14.1375,21.9,76.7916666666667,50.7012718571429,69.28125,1.91693122222222,NA,72.2909422,13.5130435,8
"2006-05-05",5,1095.7,0.26183,5.08333333333333,"ESE",6,14.345645434496,0,927.98672024566,14.3125,20.4,83,41.9253247142857,45.8392857142857,1.61230158888889,NA,47.8315216,8.88115934,9
"2006-05-06",5,1021,0.23866,6.5,"SE",4.6,12.4064093051687,0,928.186799104342,15.7791666666667,20.5,82.5833333333333,30.4997548571429,45.5,0.985317461111111,NA,35.7902172,9.13333338,10
"2006-05-07",5,1059,0.26542,5.91666666666667,"SE",4.5,11.7292412568866,0,928.729689916711,15.35,19.9,82.375,35.9983177857143,39.1964285714286,0.762632275555556,NA,38.423913,9.58743968,11
"2006-05-08",5,668.32,0.23801,5.58333333333333,"E",0.3,5.87613308735218,0,927.576617631756,16.2083333333333,19.3,85.5,37.8231107142857,32.2142858333333,1.33888888888889,NA,45,8.02541804,12
"2006-05-09",5,1030.8,0.17183,4.375,"SSE",5.7,12.9651408976057,0,927.54378111846,15.6708333333333,21.2,82.2083333333333,41.4191016428571,41.6458333333333,1.17420634444444,NA,64.6666666666667,10.27789856,13
"2006-05-10",5,1031.3,0.098055,3.33333333333333,"SSE",5.4,14.6521521118164,0,926.271942735145,15.5791666666667,21.8,82.5833333333333,58.71985,57.5416666666667,2.24662698888889,NA,72.985507,11.56630436,14
"2006-05-11",5,1675.5,0.38215,6.75,"SSW",7.1,15.377396766704,0.7,925.406104629237,15.0458333333333,20.7,80.7083333333333,39.9045735714286,42.625,2.10767194444444,NA,47.57763975,6.93442036,0
"2006-05-12",5,630.88,0.262,6.79166666666667,"SSW",0.9,8.87864092167022,3.3,927.236788908828,14.3666666666667,17,92.25,23.1291665714286,27.8903061285714,1.10555555555556,NA,34.0869563333333,5.88463764,0
"2006-05-13",5,1160.7,0.21887,4.625,"SSE",7.8,15.5727334157015,0,930.025525066445,14.7083333333333,20.5,82.0416666666667,21.8903387857143,52,0.9078125,NA,29.3188403333333,7.3152174,1
"2006-05-14",5,896.64,0.23821,5.375,"SSE",4.3,10.9981089689328,0,931.405547369546,14.8541666666667,19.2,82.375,26.2604165714286,50.0833333333333,0.90104166625,NA,35.405797,8.78840584,2
"2006-05-15",5,927.87,0.23067,5.83333333333333,"ESE",2.4,9.81305035219708,0,931.106787949487,15.4041666666667,19.7,84.4166666666667,26.5056390714286,45.0922618333333,1.23928571375,NA,33.7391303333333,9.44901176,3
"2006-05-16",5,963.5,0.23307,6.83333333333333,"E",5.2,12.2295664905883,0,930.63027645951,15.2166666666667,19.2,81.0416666666667,32.6378205384615,40.125,1.1631696375,NA,44.5942026666667,11.21739138,4
"2006-05-17",5,951.9,0.20561,5.45833333333333,"NE",9.2,16.1838005735124,0,930.386260392715,15.7541666666667,23.4,80.5833333333333,56.4047202307692,54.9375,1.48616070875,NA,69.1304346666667,12.75322774,5
